,mix_enthalpy,config_entropy
Ag-Al-Au-Ir-Ta,-1.6099999999999999,0.1609
Ag-Al-Au-Ir-Ti,-2.61,0.1609
Ag-Al-Au-Ir-V,-1.46,0.1609
Ag-Al-Au-Ir-W,-0.49,0.1609
Ag-Al-Au-Ir-Zn,-1.7199999999999998,0.1609
Ag-Al-Au-Ir-Zr,-2.6799999999999997,0.1609
Ag-Al-Au-Mg-Mn,-0.71,0.1609
Ag-Al-Au-Mg-Mo,-0.22999999999999998,0.1609
Ag-Al-Au-Mg-Nb,-0.76,0.1609
Ag-Al-Au-Mg-Ni,-1.28,0.1609
Ag-Al-Au-Mg-Os,-1.48,0.1609
Ag-Al-Au-Mg-Pd,-2.37,0.1609
Ag-Al-Au-Mg-Pt,-2.4699999999999998,0.1609
Ag-Al-Au-Mg-Re,-0.4699999999999998,0.1609
Ag-Al-Au-Mg-Rh,-2.1399999999999997,0.1609
Ag-Al-Au-Mg-Ta,-0.5700000000000001,0.1609
Ag-Al-Au-Mg-Ti,-1.5699999999999998,0.1609
Ag-Al-Au-Mg-V,-0.49999999999999994,0.1609
Ag-Al-Au-Mg-W,0.29000000000000004,0.1609
Ag-Al-Au-Mg-Zn,-1.4,0.1609
Ag-Al-Au-Mg-Zr,-1.78,0.1609
Ag-Al-Au-Mn-Mo,0.30999999999999994,0.1609
Ag-Al-Au-Mn-Nb,-0.23,0.1609
Ag-Al-Au-Mn-Ni,-0.5,0.1609
Ag-Al-Au-Mn-Os,-0.8599999999999999,0.1609
Ag-Al-Au-Mn-Pd,-1.21,0.1609
Ag-Al-Au-Mn-Pt,-1.3299999999999998,0.1609
Ag-Al-Au-Mn-Re,0.06000000000000005,0.1609
Ag-Al-Au-Mn-Rh,-1.1499999999999997,0.1609
Ag-Al-Au-Mn-Ta,-0.16999999999999996,0.1609
Ag-Al-Au-Mn-Ti,-1.1099999999999999,0.1609
Ag-Al-Au-Mn-V,-0.29,0.1609
Ag-Al-Au-Mn-W,0.71,0.1609
Ag-Al-Au-Mn-Zn,-0.59,0.1609
Ag-Al-Au-Mn-Zr,-0.9900000000000001,0.1609
Ag-Al-Au-Mo-Nb,0.13999999999999999,0.1609
Ag-Al-Au-Mo-Ni,0.01999999999999999,0.1609
Ag-Al-Au-Mo-Os,-0.29000000000000004,0.1609
Ag-Al-Au-Mo-Pd,-0.5800000000000001,0.1609
Ag-Al-Au-Mo-Pt,-0.8,0.1609
Ag-Al-Au-Mo-Re,0.5900000000000001,0.1609
Ag-Al-Au-Mo-Rh,-0.73,0.1609
Ag-Al-Au-Mo-Ta,0.20000000000000007,0.1609
Ag-Al-Au-Mo-Ti,-0.6100000000000001,0.1609
Ag-Al-Au-Mo-V,0.28,0.1609
Ag-Al-Au-Mo-W,1.1099999999999999,0.1609
Ag-Al-Au-Mo-Zn,-0.04000000000000001,0.1609
Ag-Al-Au-Mo-Zr,-0.59,0.1609
Ag-Al-Au-Nb-Ni,-0.6300000000000001,0.1609
Ag-Al-Au-Nb-Os,-1.02,0.1609
Ag-Al-Au-Nb-Pd,-1.3499999999999999,0.1609
Ag-Al-Au-Nb-Pt,-1.6199999999999999,0.1609
Ag-Al-Au-Nb-Re,-0.13000000000000006,0.1609
Ag-Al-Au-Nb-Rh,-1.49,0.1609
Ag-Al-Au-Nb-Ta,-0.18000000000000005,0.1609
Ag-Al-Au-Nb-Ti,-0.99,0.1609
Ag-Al-Au-Nb-V,-0.05999999999999994,0.1609
Ag-Al-Au-Nb-W,0.56,0.1609
Ag-Al-Au-Nb-Zn,-0.65,0.1609
Ag-Al-Au-Nb-Zr,-1.09,0.1609
Ag-Al-Au-Ni-Os,-1.1,0.1609
Ag-Al-Au-Ni-Pd,-1.3299999999999998,0.1609
Ag-Al-Au-Ni-Pt,-1.39,0.1609
Ag-Al-Au-Ni-Re,-0.2,0.1609
Ag-Al-Au-Ni-Rh,-1.3299999999999998,0.1609
Ag-Al-Au-Ni-Ta,-0.56,0.1609
Ag-Al-Au-Ni-Ti,-1.56,0.1609
Ag-Al-Au-Ni-V,-0.5200000000000001,0.1609
Ag-Al-Au-Ni-W,0.44,0.1609
Ag-Al-Au-Ni-Zn,-1.07,0.1609
Ag-Al-Au-Ni-Zr,-1.6,0.1609
Ag-Al-Au-Os-Pd,-1.56,0.1609
Ag-Al-Au-Os-Pt,-1.6199999999999999,0.1609
Ag-Al-Au-Os-Re,-0.52,0.1609
Ag-Al-Au-Os-Rh,-1.5099999999999998,0.1609
Ag-Al-Au-Os-Ta,-0.99,0.1609
Ag-Al-Au-Os-Ti,-1.9999999999999998,0.1609
Ag-Al-Au-Os-V,-1.01,0.1609
Ag-Al-Au-Os-W,0.12000000000000005,0.1609
Ag-Al-Au-Os-Zn,-1.17,0.1609
Ag-Al-Au-Os-Zr,-1.91,0.1609
Ag-Al-Au-Pd-Pt,-1.97,0.1609
Ag-Al-Au-Pd-Re,-0.6699999999999999,0.1609
Ag-Al-Au-Pd-Rh,-1.8699999999999999,0.1609
Ag-Al-Au-Pd-Ta,-1.27,0.1609
Ag-Al-Au-Pd-Ti,-2.33,0.1609
Ag-Al-Au-Pd-V,-1.11,0.1609
Ag-Al-Au-Pd-W,-0.13,0.1609
Ag-Al-Au-Pd-Zn,-1.91,0.1609
Ag-Al-Au-Pd-Zr,-2.5,0.1609
Ag-Al-Au-Pt-Re,-0.7999999999999999,0.1609
Ag-Al-Au-Pt-Rh,-1.93,0.1609
Ag-Al-Au-Pt-Ta,-1.54,0.1609
Ag-Al-Au-Pt-Ti,-2.6199999999999997,0.1609
Ag-Al-Au-Pt-V,-1.37,0.1609
Ag-Al-Au-Pt-W,-0.3400000000000001,0.1609
Ag-Al-Au-Pt-Zn,-1.9,0.1609
Ag-Al-Au-Pt-Zr,-2.78,0.1609
Ag-Al-Au-Re-Rh,-0.7899999999999998,0.1609
Ag-Al-Au-Re-Ta,-0.08000000000000002,0.1609
Ag-Al-Au-Re-Ti,-1.03,0.1609
Ag-Al-Au-Re-V,-0.09000000000000002,0.1609
Ag-Al-Au-Re-W,0.9899999999999998,0.1609
Ag-Al-Au-Re-Zn,-0.19999999999999998,0.1609
Ag-Al-Au-Re-Zr,-0.9199999999999999,0.1609
Ag-Al-Au-Rh-Ta,-1.45,0.1609
Ag-Al-Au-Rh-Ti,-2.4399999999999995,0.1609
Ag-Al-Au-Rh-V,-1.28,0.1609
Ag-Al-Au-Rh-W,-0.31000000000000005,0.1609
Ag-Al-Au-Rh-Zn,-1.7599999999999998,0.1609
Ag-Al-Au-Rh-Zr,-2.55,0.1609
Ag-Al-Au-Ta-Ti,-0.8500000000000001,0.1609
Ag-Al-Au-Ta-V,0.030000000000000006,0.1609
Ag-Al-Au-Ta-W,0.63,0.1609
Ag-Al-Au-Ta-Zn,-0.48,0.1609
Ag-Al-Au-Ta-Zr,-0.94,0.1609
Ag-Al-Au-Ti-V,-0.7999999999999999,0.1609
Ag-Al-Au-Ti-W,-0.15000000000000002,0.1609
Ag-Al-Au-Ti-Zn,-1.48,0.1609
Ag-Al-Au-Ti-Zr,-1.79,0.1609
Ag-Al-Au-V-W,0.7000000000000002,0.1609
Ag-Al-Au-V-Zn,-0.44999999999999996,0.1609
Ag-Al-Au-V-Zr,-0.8,0.1609
Ag-Al-Au-W-Zn,0.4800000000000001,0.1609
Ag-Al-Au-W-Zr,-0.11999999999999998,0.1609
Ag-Al-Au-Zn-Zr,-1.6400000000000001,0.1609
Ag-Al-Cd-Co-Cr,1.29,0.1609
Ag-Al-Cd-Co-Cu,0.3,0.1609
Ag-Al-Cd-Co-Fe,0.6200000000000001,0.1609
Ag-Al-Cd-Co-Hf,-0.44,0.1609
Ag-Al-Cd-Co-Ir,-0.8000000000000002,0.1609
Ag-Al-Cd-Co-Mg,0.02999999999999997,0.1609
Ag-Al-Cd-Co-Mn,0.51,0.1609
Ag-Al-Cd-Co-Mo,0.9299999999999999,0.1609
Ag-Al-Cd-Co-Nb,0.44000000000000006,0.1609
Ag-Al-Cd-Co-Ni,-0.04000000000000005,0.1609
Ag-Al-Cd-Co-Os,-0.25,0.1609
Ag-Al-Cd-Co-Pd,-0.81,0.1609
Ag-Al-Cd-Co-Pt,-0.92,0.1609
Ag-Al-Cd-Co-Re,0.69,0.1609
Ag-Al-Cd-Co-Rh,-0.77,0.1609
Ag-Al-Cd-Co-Ta,0.5499999999999998,0.1609
Ag-Al-Cd-Co-Ti,-0.38,0.1609
Ag-Al-Cd-Co-V,0.4900000000000001,0.1609
Ag-Al-Cd-Co-W,1.3699999999999997,0.1609
Ag-Al-Cd-Co-Zn,0.07999999999999996,0.1609
Ag-Al-Cd-Co-Zr,-0.36,0.1609
Ag-Al-Cd-Cr-Cu,1.28,0.1609
Ag-Al-Cd-Cr-Fe,1.4300000000000002,0.1609
Ag-Al-Cd-Cr-Hf,0.7100000000000001,0.1609
Ag-Al-Cd-Cr-Ir,-0.09999999999999992,0.1609
Ag-Al-Cd-Cr-Mg,1.1300000000000001,0.1609
Ag-Al-Cd-Cr-Mn,1.25,0.1609
Ag-Al-Cd-Cr-Mo,1.7100000000000002,0.1609
Ag-Al-Cd-Cr-Nb,1.3599999999999999,0.1609
Ag-Al-Cd-Cr-Ni,0.8199999999999998,0.1609
Ag-Al-Cd-Cr-Os,0.45999999999999996,0.1609
Ag-Al-Cd-Cr-Pd,0.060000000000000026,0.1609
Ag-Al-Cd-Cr-Pt,-0.19,0.1609
Ag-Al-Cd-Cr-Re,1.42,0.1609
Ag-Al-Cd-Cr-Rh,-0.00999999999999994,0.1609
Ag-Al-Cd-Cr-Ta,1.5000000000000002,0.1609
Ag-Al-Cd-Cr-Ti,0.67,0.1609
Ag-Al-Cd-Cr-V,1.32,0.1609
Ag-Al-Cd-Cr-W,2.14,0.1609
Ag-Al-Cd-Cr-Zn,1.06,0.1609
Ag-Al-Cd-Cr-Zr,0.7800000000000001,0.1609
Ag-Al-Cd-Cu-Fe,0.56,0.1609
Ag-Al-Cd-Cu-Hf,-0.48999999999999994,0.1609
Ag-Al-Cd-Cu-Ir,-1.01,0.1609
Ag-Al-Cd-Cu-Mg,-0.31999999999999995,0.1609
Ag-Al-Cd-Cu-Mn,0.42000000000000004,0.1609
Ag-Al-Cd-Cu-Mo,0.89,0.1609
Ag-Al-Cd-Cu-Nb,0.4,0.1609
Ag-Al-Cd-Cu-Ni,-0.21,0.1609
Ag-Al-Cd-Cu-Os,-0.38999999999999996,0.1609
Ag-Al-Cd-Cu-Pd,-1.1500000000000001,0.1609
Ag-Al-Cd-Cu-Pt,-1.1800000000000002,0.1609
Ag-Al-Cd-Cu-Re,0.63,0.1609
Ag-Al-Cd-Cu-Rh,-0.99,0.1609
Ag-Al-Cd-Cu-Ta,0.5700000000000001,0.1609
Ag-Al-Cd-Cu-Ti,-0.38,0.1609
Ag-Al-Cd-Cu-V,0.54,0.1609
Ag-Al-Cd-Cu-W,1.4,0.1609
Ag-Al-Cd-Cu-Zn,-0.17000000000000004,0.1609
Ag-Al-Cd-Cu-Zr,-0.48,0.1609
Ag-Al-Cd-Fe-Hf,-0.10999999999999993,0.1609
Ag-Al-Cd-Fe-Ir,-0.73,0.1609
Ag-Al-Cd-Fe-Mg,0.27,0.1609
Ag-Al-Cd-Fe-Mn,0.6500000000000001,0.1609
Ag-Al-Cd-Fe-Mo,1.11,0.1609
Ag-Al-Cd-Fe-Nb,0.6500000000000001,0.1609
Ag-Al-Cd-Fe-Ni,0.09000000000000002,0.1609
Ag-Al-Cd-Fe-Os,-0.16999999999999993,0.1609
Ag-Al-Cd-Fe-Pd,-0.61,0.1609
Ag-Al-Cd-Fe-Pt,-0.75,0.1609
Ag-Al-Cd-Fe-Re,0.81,0.1609
Ag-Al-Cd-Fe-Rh,-0.69,0.1609
Ag-Al-Cd-Fe-Ta,0.78,0.1609
Ag-Al-Cd-Fe-Ti,-0.13999999999999993,0.1609
Ag-Al-Cd-Fe-V,0.6400000000000002,0.1609
Ag-Al-Cd-Fe-W,1.5599999999999998,0.1609
Ag-Al-Cd-Fe-Zn,0.28,0.1609
Ag-Al-Cd-Fe-Zr,-0.05999999999999993,0.1609
Ag-Al-Cd-Hf-Ir,-2.27,0.1609
Ag-Al-Cd-Hf-Mg,-0.71,0.1609
Ag-Al-Cd-Hf-Mn,-0.18,0.1609
Ag-Al-Cd-Hf-Mo,0.08999999999999998,0.1609
Ag-Al-Cd-Hf-Nb,-0.23999999999999996,0.1609
Ag-Al-Cd-Hf-Ni,-0.99,0.1609
Ag-Al-Cd-Hf-Os,-1.35,0.1609
Ag-Al-Cd-Hf-Pd,-2.13,0.1609
Ag-Al-Cd-Hf-Pt,-2.46,0.1609
Ag-Al-Cd-Hf-Re,-0.29999999999999993,0.1609
Ag-Al-Cd-Hf-Rh,-2.19,0.1609
Ag-Al-Cd-Hf-Ta,-0.030000000000000027,0.1609
Ag-Al-Cd-Hf-Ti,-0.8300000000000001,0.1609
Ag-Al-Cd-Hf-V,0.020000000000000073,0.1609
Ag-Al-Cd-Hf-W,0.6100000000000001,0.1609
Ag-Al-Cd-Hf-Zn,-0.69,0.1609
Ag-Al-Cd-Hf-Zr,-0.9700000000000001,0.1609
Ag-Al-Cd-Ir-Mg,-1.56,0.1609
Ag-Al-Cd-Ir-Mn,-0.8700000000000001,0.1609
Ag-Al-Cd-Ir-Mo,-0.6099999999999999,0.1609
Ag-Al-Cd-Ir-Nb,-1.2400000000000002,0.1609
Ag-Al-Cd-Ir-Ni,-1.2999999999999998,0.1609
Ag-Al-Cd-Ir-Os,-1.5999999999999999,0.1609
Ag-Al-Cd-Ir-Pd,-2.02,0.1609
Ag-Al-Cd-Ir-Pt,-2.05,0.1609
Ag-Al-Cd-Ir-Re,-0.82,0.1609
Ag-Al-Cd-Ir-Rh,-2.05,0.1609
Ag-Al-Cd-Ir-Ta,-1.14,0.1609
Ag-Al-Cd-Ir-Ti,-2.1,0.1609
Ag-Al-Cd-Ir-V,-1.06,0.1609
Ag-Al-Cd-Ir-W,-0.16000000000000003,0.1609
Ag-Al-Cd-Ir-Zn,-1.2799999999999998,0.1609
Ag-Al-Cd-Ir-Zr,-2.16,0.1609
Ag-Al-Cd-Mg-Mn,0.21999999999999997,0.1609
Ag-Al-Cd-Mg-Mo,0.58,0.1609
Ag-Al-Cd-Mg-Nb,0.17,0.1609
Ag-Al-Cd-Mg-Ni,-0.5800000000000001,0.1609
Ag-Al-Cd-Mg-Os,-0.77,0.1609
Ag-Al-Cd-Mg-Pd,-1.9100000000000001,0.1609
Ag-Al-Cd-Mg-Pt,-2.0500000000000003,0.1609
Ag-Al-Cd-Mg-Re,0.27999999999999997,0.1609
Ag-Al-Cd-Mg-Rh,-1.63,0.1609
Ag-Al-Cd-Mg-Ta,0.41999999999999993,0.1609
Ag-Al-Cd-Mg-Ti,-0.54,0.1609
Ag-Al-Cd-Mg-V,0.42,0.1609
Ag-Al-Cd-Mg-W,1.1400000000000001,0.1609
Ag-Al-Cd-Mg-Zn,-0.44,0.1609
Ag-Al-Cd-Mg-Zr,-0.74,0.1609
Ag-Al-Cd-Mn-Mo,0.96,0.1609
Ag-Al-Cd-Mn-Nb,0.54,0.1609
Ag-Al-Cd-Mn-Ni,0.03999999999999996,0.1609
Ag-Al-Cd-Mn-Os,-0.31,0.1609
Ag-Al-Cd-Mn-Pd,-0.91,0.1609
Ag-Al-Cd-Mn-Pt,-1.0699999999999998,0.1609
Ag-Al-Cd-Mn-Re,0.65,0.1609
Ag-Al-Cd-Mn-Rh,-0.8,0.1609
Ag-Al-Cd-Mn-Ta,0.6600000000000001,0.1609
Ag-Al-Cd-Mn-Ti,-0.23999999999999994,0.1609
Ag-Al-Cd-Mn-V,0.47000000000000014,0.1609
Ag-Al-Cd-Mn-W,1.4000000000000004,0.1609
Ag-Al-Cd-Mn-Zn,0.21,0.1609
Ag-Al-Cd-Mn-Zr,-0.11000000000000001,0.1609
Ag-Al-Cd-Mo-Nb,0.79,0.1609
Ag-Al-Cd-Mo-Ni,0.4399999999999999,0.1609
Ag-Al-Cd-Mo-Os,0.13999999999999999,0.1609
Ag-Al-Cd-Mo-Pd,-0.4,0.1609
Ag-Al-Cd-Mo-Pt,-0.6599999999999999,0.1609
Ag-Al-Cd-Mo-Re,1.0600000000000003,0.1609
Ag-Al-Cd-Mo-Rh,-0.49999999999999994,0.1609
Ag-Al-Cd-Mo-Ta,0.91,0.1609
Ag-Al-Cd-Mo-Ti,0.14,0.1609
Ag-Al-Cd-Mo-V,0.92,0.1609
Ag-Al-Cd-Mo-W,1.6800000000000002,0.1609
Ag-Al-Cd-Mo-Zn,0.64,0.1609
Ag-Al-Cd-Mo-Zr,0.17,0.1609
Ag-Al-Cd-Nb-Ni,-0.09000000000000002,0.1609
Ag-Al-Cd-Nb-Os,-0.47,0.1609
Ag-Al-Cd-Nb-Pd,-1.05,0.1609
Ag-Al-Cd-Nb-Pt,-1.36,0.1609
Ag-Al-Cd-Nb-Re,0.45999999999999996,0.1609
Ag-Al-Cd-Nb-Rh,-1.1400000000000001,0.1609
Ag-Al-Cd-Nb-Ta,0.6499999999999999,0.1609
Ag-Al-Cd-Nb-Ti,-0.11999999999999997,0.1609
Ag-Al-Cd-Nb-V,0.7000000000000002,0.1609
Ag-Al-Cd-Nb-W,1.25,0.1609
Ag-Al-Cd-Nb-Zn,0.15,0.1609
Ag-Al-Cd-Nb-Zr,-0.21,0.1609
Ag-Al-Cd-Ni-Os,-0.78,0.1609
Ag-Al-Cd-Ni-Pd,-1.26,0.1609
Ag-Al-Cd-Ni-Pt,-1.3599999999999999,0.1609
Ag-Al-Cd-Ni-Re,0.16000000000000014,0.1609
Ag-Al-Cd-Ni-Rh,-1.21,0.1609
Ag-Al-Cd-Ni-Ta,0.04000000000000001,0.1609
Ag-Al-Cd-Ni-Ti,-0.92,0.1609
Ag-Al-Cd-Ni-V,0.009999999999999981,0.1609
Ag-Al-Cd-Ni-W,0.9,0.1609
Ag-Al-Cd-Ni-Zn,-0.5,0.1609
Ag-Al-Cd-Ni-Zr,-0.95,0.1609
Ag-Al-Cd-Os-Pd,-1.48,0.1609
Ag-Al-Cd-Os-Pt,-1.5799999999999998,0.1609
Ag-Al-Cd-Os-Re,-0.15000000000000008,0.1609
Ag-Al-Cd-Os-Rh,-1.3799999999999997,0.1609
Ag-Al-Cd-Os-Ta,-0.37999999999999995,0.1609
Ag-Al-Cd-Os-Ti,-1.35,0.1609
Ag-Al-Cd-Os-V,-0.4699999999999999,0.1609
Ag-Al-Cd-Os-W,0.5900000000000001,0.1609
Ag-Al-Cd-Os-Zn,-0.59,0.1609
Ag-Al-Cd-Os-Zr,-1.25,0.1609
Ag-Al-Cd-Pd-Pt,-2.1799999999999997,0.1609
Ag-Al-Cd-Pd-Re,-0.5499999999999999,0.1609
Ag-Al-Cd-Pd-Rh,-1.9899999999999998,0.1609
Ag-Al-Cd-Pd-Ta,-0.9099999999999999,0.1609
Ag-Al-Cd-Pd-Ti,-1.9300000000000002,0.1609
Ag-Al-Cd-Pd-V,-0.82,0.1609
Ag-Al-Cd-Pd-W,0.09000000000000008,0.1609
Ag-Al-Cd-Pd-Zn,-1.5799999999999998,0.1609
Ag-Al-Cd-Pd-Zr,-2.09,0.1609
Ag-Al-Cd-Pt-Re,-0.72,0.1609
Ag-Al-Cd-Pt-Rh,-2.09,0.1609
Ag-Al-Cd-Pt-Ta,-1.22,0.1609
Ag-Al-Cd-Pt-Ti,-2.26,0.1609
Ag-Al-Cd-Pt-V,-1.1199999999999999,0.1609
Ag-Al-Cd-Pt-W,-0.16000000000000003,0.1609
Ag-Al-Cd-Pt-Zn,-1.6099999999999999,0.1609
Ag-Al-Cd-Pt-Zr,-2.41,0.1609
Ag-Al-Cd-Re-Rh,-0.6199999999999999,0.1609
Ag-Al-Cd-Re-Ta,0.5699999999999998,0.1609
Ag-Al-Cd-Re-Ti,-0.34,0.1609
Ag-Al-Cd-Re-V,0.4899999999999999,0.1609
Ag-Al-Cd-Re-W,1.5,0.1609
Ag-Al-Cd-Re-Zn,0.41999999999999993,0.1609
Ag-Al-Cd-Re-Zr,-0.22000000000000003,0.1609
